Case Category,Year,Month,MonthNum,Filings,Dispositions
Civil,2019,January,1,28150,18770
Civil,2019,February,2,16580,29070
Civil,2019,March,3,19500,45610
Civil,2019,April,4,23690,35840
Civil,2019,May,5,23530,25970
Civil,2019,June,6,23050,21110
Civil,2019,July,7,21770,23870
Civil,2019,August,8,25420,16340
Civil,2019,September,9,20390,21510
Civil,2019,October,10,25340,14750
Civil,2019,November,11,17560,15370
Civil,2019,December,12,23560,15050
Civil,2020,January,1,2945,2511
Civil,2020,February,2,2248,1388
Civil,2020,March,3,800,241
Civil,2020,April,4,39,25
Civil,2020,May,5,60,17
Civil,2020,June,6,571,237
Civil,2020,July,7,1428,781
Civil,2020,August,8,2661,1746
Civil,2020,September,9,4176,1739
Civil,2020,October,10,5817,3300
Civil,2020,November,11,13608,4124
Civil,2020,December,12,21943,7774
Civil,2021,January,1,3585,1877
Civil,2021,February,2,1636,2907
Civil,2021,March,3,1351,4561
Criminal,2019,January,1,77830,70050
Criminal,2019,February,2,63600,67950
Criminal,2019,March,3,68020,79540
Criminal,2019,April,4,71860,107290
Criminal,2019,May,5,72320,89290
Criminal,2019,June,6,65590,79610
Criminal,2019,July,7,74400,93820
Criminal,2019,August,8,68800,87840
Criminal,2019,September,9,67740,97680
Criminal,2019,October,10,69000,112600
Criminal,2019,November,11,56810,82520
Criminal,2019,December,12,64640,70350
Criminal,2020,January,1,9876,8857
Criminal,2020,February,2,7507,3999
Criminal,2020,March,3,1905,1083
Criminal,2020,April,4,393,38
Criminal,2020,May,5,515,55
Criminal,2020,June,6,3143,1409
Criminal,2020,July,7,5826,6847
Criminal,2020,August,8,32796,14192
Criminal,2020,September,9,69099,34435
Criminal,2020,October,10,53486,86860
Criminal,2020,November,11,50097,62137
Criminal,2020,December,12,52495,47773
Criminal,2021,January,1,6943,7005
Criminal,2021,February,2,3567,6795
Criminal,2021,March,3,5096,7954
Family,2019,January,1,11020,9060
Family,2019,February,2,11180,8830
Family,2019,March,3,11810,10810
Family,2019,April,4,12250,12710
Family,2019,May,5,12470,13130
Family,2019,June,6,10020,10070
Family,2019,July,7,11990,11430
Family,2019,August,8,12760,11020
Family,2019,September,9,11900,11510
Family,2019,October,10,12510,9250
Family,2019,November,11,10690,10820
Family,2019,December,12,10370,11310
Family,2020,January,1,2172,1448
Family,2020,February,2,1096,531
Family,2020,March,3,337,180
Family,2020,April,4,31,17
Family,2020,May,5,40,18
Family,2020,June,6,357,193
Family,2020,July,7,1482,704
Family,2020,August,8,1786,1128
Family,2020,September,9,4479,2051
Family,2020,October,10,5380,2680
Family,2020,November,11,6123,2594
Family,2020,December,12,9635,4719
Family,2021,January,1,991,906
Family,2021,February,2,1093,883
Family,2021,March,3,925,1081
Probate,2019,January,1,1680,210
Probate,2019,February,2,1730,350
Probate,2019,March,3,1860,210
Probate,2019,April,4,2090,170
Probate,2019,May,5,1890,240
Probate,2019,June,6,1640,240
Probate,2019,July,7,2060,420
Probate,2019,August,8,1890,240
Probate,2019,September,9,1750,120
Probate,2019,October,10,2060,110
Probate,2019,November,11,1590,390
Probate,2019,December,12,1540,200
Probate,2020,January,1,242,29
Probate,2020,February,2,159,38
Probate,2020,March,3,59,94
Probate,2020,April,4,7,1
Probate,2020,May,5,5,2
Probate,2020,June,6,61,46
Probate,2020,July,7,101,37
Probate,2020,August,8,463,167
Probate,2020,September,9,371,591
Probate,2020,October,10,820,653
Probate,2020,November,11,782,93
Probate,2020,December,12,2017,1626
Probate,2021,January,1,90,21
Probate,2021,February,2,89,35
Probate,2021,March,3,188,21
Traffic,2019,January,1,271210,247330
Traffic,2019,February,2,221980,255230
Traffic,2019,March,3,254390,241680
Traffic,2019,April,4,255120,248020
Traffic,2019,May,5,243970,297620
Traffic,2019,June,6,223220,230040
Traffic,2019,July,7,246120,296680
Traffic,2019,August,8,250440,260410
Traffic,2019,September,9,234180,227730
Traffic,2019,October,10,223490,267110
Traffic,2019,November,11,197060,223220
Traffic,2019,December,12,205510,201400
Traffic,2020,January,1,50222,24652
Traffic,2020,February,2,28339,11864
Traffic,2020,March,3,4868,3633
Traffic,2020,April,4,597,213
Traffic,2020,May,5,802,341
Traffic,2020,June,6,8707,4198
Traffic,2020,July,7,31408,15709
Traffic,2020,August,8,36355,24841
Traffic,2020,September,9,65159,28255
Traffic,2020,October,10,106032,87740
Traffic,2020,November,11,104329,126378
Traffic,2020,December,12,195560,161814
Traffic,2021,January,1,29249,24733
Traffic,2021,February,2,17944,25523
Traffic,2021,March,3,22403,24168
